1,input_ballistic.asc,Three-stage,rocket,ascent
0,0,20,,
time,psibdx,thtbdx,phibdx,alppx
phipx,alphax,betax,qqx,lonx
latx,alt,dvbe,dvbi,psivdx
thtvdx,SBII1,SBII2,SBII3,grndtrck
180,-0.793671,8.27122e-11,0.349146,-120.49
34.4562,18328.1,1440.31,1440.31,180
28.6652,-2.67893e+06,-4.54974e+06,3.5988e+06,24825.3
50.5,180,28.1649,-0,0
180,-0.328345,3.69832e-11,0.803091,-120.49
34.4505,18675.4,1464.83,1464.83,180
28.4916,-2.67926e+06,-4.5503e+06,3.59847e+06,25461.3
51,-180,28.6343,0,0
-5.797e-09,0.301684,-3.05284e-11,0.826143,-120.49
34.4447,19026.9,1489.76,1489.76,180
28.3311,-2.67959e+06,-4.55087e+06,3.59813e+06,26109.1
51.5,-180,28.9429,0,0
-6.35253e-09,0.757824,-8.40337e-11,0.37572,-120.49
34.4387,19382.5,1515.1,1515.1,180
28.1836,-2.67993e+06,-4.55144e+06,3.59779e+06,26768.8
52,-180,29.0268,0,0
-6.53915e-09,0.980447,-1.11912e-10,-0.0727112,-120.49
34.4327,19742.5,1540.87,1540.87,180
28.045,-2.68028e+06,-4.55202e+06,3.59744e+06,27440.6
52.5,-180,28.8872,0,0
-6.69779e-09,0.974874,-1.13975e-10,-0.518987,-120.49
34.4265,20107,1567.07,1567.07,180
27.911,-2.68063e+06,-4.55262e+06,3.59708e+06,28124.6
53,-180,28.5252,1.20742e-06,0
-6.92355e-09,0.746469,-9.0215e-11,-0.962517,-120.49
34.4202,20476,1593.71,1593.71,180
27.7774,-2.68098e+06,-4.55322e+06,3.59671e+06,28821.1
53.5,-180,27.9423,1.47878e-06,0
-7.67447e-09,0.300789,-4.02957e-11,-1.4029,-120.49
34.4138,20849.7,1620.81,1620.81,180
27.6401,-2.68134e+06,-4.55383e+06,3.59633e+06,29530.3
54,180,27.1936,-1.70755e-06,0
180,-0.303283,3.89239e-11,-1.39935,-120.49
34.4073,21227.9,1648.38,1648.38,180
27.4954,-2.68171e+06,-4.55445e+06,3.59595e+06,30252.4
54.5,180,26.607,-8.53774e-07,0
180,-0.737926,1.0466e-10,-0.965518,-120.49
34.4007,21610.7,1676.42,1676.42,180
27.3434,-2.68208e+06,-4.55509e+06,3.59556e+06,30987.8
55,180,26.2366,-8.53774e-07,0
180,-0.952849,1.38928e-10,-0.535066,-120.49
34.3939,21997.9,1704.95,1704.95,180
27.1879,-2.68246e+06,-4.55573e+06,3.59516e+06,31736.6
55.5,180,26.0807,-0,0
180,-0.953678,1.41604e-10,-0.108042,-120.49
34.3871,22389.7,1733.98,1733.98,180
27.0329,-2.68284e+06,-4.55638e+06,3.59475e+06,32499.2
56,180,26.1376,-0,0
180,-0.74595,1.12941e-10,0.315512,-120.49
34.3801,22786,1763.52,1763.52,180
26.8821,-2.68323e+06,-4.55704e+06,3.59433e+06,33275.9
56.5,180,26.4055,-0,0
180,-0.335114,5.31169e-11,0.735561,-120.49
34.3729,23187.1,1793.58,1793.58,180
26.7393,-2.68363e+06,-4.55771e+06,3.5939e+06,34066.7
57,-180,26.8487,8.53774e-07,0
-8.55564e-09,0.239442,-3.57604e-11,0.807232,-120.49
34.3657,23593.1,1824.16,1824.16,180
26.608,-2.68403e+06,-4.55839e+06,3.59346e+06,34871.9
57.5,-180,27.1584,0,0
-9.1668e-09,0.668741,-1.07008e-10,0.394312,-120.49
34.3583,24004.2,1855.27,1855.27,180
26.4885,-2.68443e+06,-4.55909e+06,3.59301e+06,35691.8
58,-180,27.2626,0,0
-9.35913e-09,0.88446,-1.44493e-10,-0.0149792,-120.49
34.3508,24420.6,1886.92,1886.92,180
26.3771,-2.68485e+06,-4.55979e+06,3.59256e+06,36526.3
58.5,-180,27.1633,0,0
-9.52187e-09,0.892269,-1.48304e-10,-0.420599,-120.49
34.3431,24842.5,1919.12,1919.12,180
26.2699,-2.68527e+06,-4.5605e+06,3.59209e+06,37375.9
59,-180,26.8621,0,0
-9.75067e-09,0.697746,-1.1876e-10,-0.822514,-120.49
34.3353,25270,1951.88,1951.88,180
26.1633,-2.6857e+06,-4.56123e+06,3.59162e+06,38240.7
59.5,-180,26.3611,1.20742e-06,0
-1.04623e-08,0.306378,-5.59543e-11,-1.2207,-120.49
34.3274,25703.2,1985.23,1985.23,180
26.0536,-2.68613e+06,-4.56197e+06,3.59113e+06,39121
60,180,25.6976,-1.20742e-06,0
180,-0.240965,4.17011e-11,-1.2729,-120.49
34.3193,26141.9,2019.18,2019.18,180
25.9373,-2.68657e+06,-4.56272e+06,3.59063e+06,40017.2
60.5,180,25.1652,-0,0
180,-0.650275,1.23675e-10,-0.882166,-120.49
34.3111,26586.3,2053.74,2053.74,180
25.8143,-2.68702e+06,-4.56348e+06,3.59013e+06,40929.5
61,180,24.8267,-0,0.945456
180,-0.868846,1.69174e-10,-0.501354,-120.49
34.3027,27034.1,2060.54,2060.54,180
25.6944,-2.68747e+06,-4.56425e+06,3.58961e+06,41853.8
61.5,180,24.6724,-8.53774e-07,0.976423
180,-0.905231,1.79283e-10,-0.146686,-120.49
34.2944,27479.3,2056.27,2056.27,180
25.5764,-2.68793e+06,-4.56502e+06,3.5891e+06,42777.7
62,180,24.6891,-0,0.850372
180,-0.770637,1.55575e-10,0.182958,-120.49
34.2861,27921.8,2052.15,2052.15,180
25.4586,-2.68838e+06,-4.56578e+06,3.58858e+06,43700.5
62.5,180,24.8649,-0,0.594102
180,-0.477593,9.99354e-11,0.489566,-120.49
34.2778,28361.5,2048.19,2048.19,180
25.3414,-2.68883e+06,-4.56654e+06,3.58806e+06,44622.4
63,180,25.1888,-0,0.349558
